Custom field (Actual Effort),Assignee,Custom field (Chapter),Component/s,Component/s,Component/s,Custom field (Confidence Level),Custom field (Deployment Date),Description,Due Date,Custom field (Environment),Custom field (Environment(s)),Custom field (Epic Link),Custom field (Epic Name),Custom field (Epic Status),Custom field (Estimation),Custom field (Feature Points),Custom field (Is there a workaround?),Issue Type,Labels,Labels,Labels,Custom field (Lead),Inward issue link (Depends),Outward issue link (Depends),Inward issue link (Duplicate),Inward issue link (Relates),Custom field (Next Supply Quantity),Custom field (Objective),Original Estimate,Custom field (Owner),Custom field (Parent Link),Custom field (Planned Effort),Custom field (Planned End Date),Custom field (Planned Start Date),Priority,Project key,Project name,Project type,Project lead,Project description,Project url,Remaining Estimate,Reporter,Custom field (Requirement Critical),Custom field (Requirement Design and Configuration Doc Link),Custom field (Requirement No.),Custom field (Requirement SOP Doc Link),Custom field (Requirement Category),Security Level,Custom field (Short Name),Sprint,Sprint,Sprint,Sprint,Custom field (Start Date),Custom field (Story Points),Summary,Custom field (Target end),Custom field (Target start),Custom field (Tech & UX Notes),Custom field (WSJF),Custom field (Watchers),Custom field (Watchers),Custom field (Watchers),Custom field (Why are we doing it?),Custom field (Work Complete (Current Sprint)),Custom field (Work Complete (Total)),Custom field (syncProxyAssociation),Resolution,Custom field (Resolution),Custom field (Resolution)
,,,,,,,,,,,,GBLDEV-176,,,,,,Story,Vertex,Vivid,,,,,,,,,,,,,,,Minor,GBLDEV,Global Development,software,cisses,High level tracking of Web development's 3rd party vendors' body of work ,,,mooreem,,,,,,,,,,,,,,VIVID360 Grid System,,,,,mooreem,,,,,,,,,
,,,,,,,,,,,,GBLDEV-176,,,,,,Story,Vertex,Vivid,,,,,,,,,,,,,,,Minor,GBLDEV,Global Development,software,cisses,High level tracking of Web development's 3rd party vendors' body of work ,,,mooreem,,,,,,,,,,,,,,Type Stack,,,,,mooreem,,,,,,,,,
,,,,,,,,,,,,GBLDEV-176,,,,,,Story,Vertex,Vivid,,,,,,,,,,,,,,,Minor,GBLDEV,Global Development,software,cisses,High level tracking of Web development's 3rd party vendors' body of work ,,,mooreem,,,,,,,,,,,,,,Icon Library,,,,,mooreem,,,,,,,,,
,,,,,,,,,,,,GBLDEV-176,,,,,,Story,Vertex,Vivid,,,,,,,,,,,,,,,Minor,GBLDEV,Global Development,software,cisses,High level tracking of Web development's 3rd party vendors' body of work ,,,mooreem,,,,,,,,,,,,,,Form Elements,,,,,mooreem,,,,,,,,,
,,,,,,,,,,,,GBLDEV-176,,,,,,Story,Vertex,Vivid,,,,,,,,,,,,,,,Minor,GBLDEV,Global Development,software,cisses,High level tracking of Web development's 3rd party vendors' body of work ,,,mooreem,,,,,,,,,,,,,,Pharmacy Locator: Full page,,,,,mooreem,,,,,,,,,
,,,,,,,,,,,,GBLDEV-176,,,,,,Story,Vertex,Vivid,,,,,,,,,,,,,,,Minor,GBLDEV,Global Development,software,cisses,High level tracking of Web development's 3rd party vendors' body of work ,,,mooreem,,,,,,,,,,,,,,Branded Consumer Navigation,,,,,mooreem,,,,,,,,,
,,,,,,,,,,,,GBLDEV-176,,,,,,Story,Vertex,Vivid,,,,,,,,,,,,,,,Minor,GBLDEV,Global Development,software,cisses,High level tracking of Web development's 3rd party vendors' body of work ,,,mooreem,,,,,,,,,,,,,,Unbranded Consumer Navigation,,,,,mooreem,,,,,,,,,
,,,,,,,,,,,,GBLDEV-176,,,,,,Story,Vertex,Vivid,,,,,,,,,,,,,,,Minor,GBLDEV,Global Development,software,cisses,High level tracking of Web development's 3rd party vendors' body of work ,,,mooreem,,,,,,,,,,,,,,Additional button styles in UI Kit (reference Payer variations),,,,,mooreem,,,,,,,,,
,,,,,,,,,,,,GBLDEV-176,,,,,,Story,Vertex,Vivid,,,,,,,,,,,,,,,Minor,GBLDEV,Global Development,software,cisses,High level tracking of Web development's 3rd party vendors' body of work ,,,mooreem,,,,,,,,,,,,,,Content Status Labels (reference Payor style),,,,,mooreem,,,,,,,,,
,,,,,,,,,,,,GBLDEV-176,,,,,,Story,Vertex,Vivid,,,,,,,,,,,,,,,Minor,GBLDEV,Global Development,software,cisses,High level tracking of Web development's 3rd party vendors' body of work ,,,mooreem,,,,,,,,,,,,,,Accordions to UI Kit (reference Payor style),,,,,mooreem,,,,,,,,,
,,,,,,,,,,,,GBLDEV-176,,,,,,Story,Vertex,Vivid,,,,,,,,,,,,,,,Minor,GBLDEV,Global Development,software,cisses,High level tracking of Web development's 3rd party vendors' body of work ,,,mooreem,,,,,,,,,,,,,,Table of Contents to UI Kit (reference Payor style),,,,,mooreem,,,,,,,,,
,,,,,,,,,,,,GBLDEV-176,,,,,,Story,Vertex,Vivid,,,,,,,,,,,,,,,Minor,GBLDEV,Global Development,software,cisses,High level tracking of Web development's 3rd party vendors' body of work ,,,mooreem,,,,,,,,,,,,,,Pagination to UI Kit (reference Payor style),,,,,mooreem,,,,,,,,,
,,,,,,,,,,,,GBLDEV-176,,,,,,Story,Vertex,Vivid,,,,,,,,,,,,,,,Minor,GBLDEV,Global Development,software,cisses,High level tracking of Web development's 3rd party vendors' body of work ,,,mooreem,,,,,,,,,,,,,,Chatbot components in Sketch UI Kit (current and V360),,,,,mooreem,,,,,,,,,
,,,,,,,,,,,,GBLDEV-176,,,,,,Story,Vertex,Vivid,,,,,,,,,,,,,,,Minor,GBLDEV,Global Development,software,cisses,High level tracking of Web development's 3rd party vendors' body of work ,,,mooreem,,,,,,,,,,,,,,Footer: Consumer Merck Standard ,,,,,mooreem,,,,,,,,,
,,,,,,,,,,,,GBLDEV-176,,,,,,Story,Vertex,Vivid,,,,,,,,,,,,,,,Minor,GBLDEV,Global Development,software,cisses,High level tracking of Web development's 3rd party vendors' body of work ,,,mooreem,,,,,,,,,,,,,,Footer: Consumer Branded,,,,,mooreem,,,,,,,,,
,,,,,,,,,,,,GBLDEV-176,,,,,,Story,Vertex,Vivid,,,,,,,,,,,,,,,Minor,GBLDEV,Global Development,software,cisses,High level tracking of Web development's 3rd party vendors' body of work ,,,mooreem,,,,,,,,,,,,,,FAQs for V360,,,,,mooreem,,,,,,,,,
,,,,,,,,,,,,,,,,,,Story,Vertex,,,,,,,,,,,,,,,,Minor,GBLDEV,Global Development,software,cisses,High level tracking of Web development's 3rd party vendors' body of work ,,,mooreem,,,,,,,,,,,,,,Continue setting up new environments in new repo architecture,,,,,mooreem,,,,,,,,,
,,,,,,,,,,,,,,,,,,Story,Vertex,,,,,,,,,,,,,,,,Minor,GBLDEV,Global Development,software,cisses,High level tracking of Web development's 3rd party vendors' body of work ,,,mooreem,,,,,,,,,,,,,,Review new repos and make updates and fixes,,,,,mooreem,,,,,,,,,
,,,,,,,,,,,,,,,,,,Story,Vertex,,,,,,,,,,,,,,,,Minor,GBLDEV,Global Development,software,cisses,High level tracking of Web development's 3rd party vendors' body of work ,,,mooreem,,,,,,,,,,,,,,Add Tealium tracking to contentcapabilities.com,,,,,mooreem,,,,,,,,,
,,,,,,,,"|Vaccines new homepage design. Dependent on new components in Vivid360.|",,,,,,,,,,Story,Vertex,Vivid,,,,,,,,,,,,,,,Minor,GBLDEV,Global Development,software,cisses,High level tracking of Web development's 3rd party vendors' body of work ,,,mooreem,,,,,,,,,,,,,,Vaccines new homepage design,,,,,mooreem,,,,,,,,,
,,,,,,,,,,,,,,,,,,Story,Vertex,Vivid,,,,,,,,,,,,,,,Minor,GBLDEV,Global Development,software,cisses,High level tracking of Web development's 3rd party vendors' body of work ,,,mooreem,,,,,,,,,,,,,,Indication/ISI updates rollout,,,,,davdarro,mooreem,,,,,,,,
,,,,,,,,,,,,,,,,,,Story,Vertex,,,,,,,,,,,,,,,,Minor,GBLDEV,Global Development,software,cisses,High level tracking of Web development's 3rd party vendors' body of work ,,,mooreem,,,,,,,,,,,,,,Adding NewRelic performance monitoring to MerckVaccines.com,,,,,mooreem,,,,,,,,,
,,,,,,,,,,,,,,,,,,Story,Vertex,,,,,,,,,,,,,,,,Minor,GBLDEV,Global Development,software,cisses,High level tracking of Web development's 3rd party vendors' body of work ,,,mooreem,,,,,,,,,,,,,,Vaccines performance improvement updates,,,,,mooreem,,,,,,,,,
,,,,,,,,"|Review Vaccines pages with unused CSS and identify changes that can be made|",,,,,,,,,,Story,Vertex,,,,,,,,,,,,,,,,Minor,GBLDEV,Global Development,software,cisses,High level tracking of Web development's 3rd party vendors' body of work ,,,mooreem,,,,,,,,,,,,,,Remove unused CSS from merckvaccines.com,,,,,mooreem,,,,,,,,,
,,,,,,,,"|Chatbot. Dependent on extension of Inpsyde’s global plugin and Vertex’s integration within Vivid360|",,,,,,,,,,Story,Vertex,,,,,,,,,,,,,,,,Minor,GBLDEV,Global Development,software,cisses,High level tracking of Web development's 3rd party vendors' body of work ,,,mooreem,,,,,,,,,,,,,,Merck Vaccines chatbot,,,,,mooreem,,,,,,,,,
,,,,,,,,Gardasil9 Migration to freeze appearance so as not to disrupt current review process cycle,,,,,,,,,,Story,Vertex,,,,,,,,,,,,,,,,Minor,GBLDEV,Global Development,software,cisses,High level tracking of Web development's 3rd party vendors' body of work ,,,mooreem,,,,,,,,,,,,,,Gardasil 9 Subsite,,,,,mooreem,,,,,,,,,
,,,,,,,,,,,,,,,,,,Story,Vertex,,,,,,,,,,,,,,,,Minor,GBLDEV,Global Development,software,cisses,High level tracking of Web development's 3rd party vendors' body of work ,,,mooreem,,,,,,,,,,,,,,Fix external link modal issues for Pregnyl site,,,,,mooreem,,,,,,,,,
,,,,,,,,,,,,,,,,,,Story,Vertex,,,,,,,,,,,,,,,,Minor,GBLDEV,Global Development,software,cisses,High level tracking of Web development's 3rd party vendors' body of work ,,,mooreem,,,,,,,,,,,,,,Add OneTrust to contentcapabilities.com,,,,,mooreem,,,,,,,,,
,,,,,,,,,,,,GBLDEV-176,,,,,,Story,Vertex,Vivid,,,,,,,,,,,,,,,Minor,GBLDEV,Global Development,software,cisses,High level tracking of Web development's 3rd party vendors' body of work ,,,mooreem,,,,,,,,,,,,,,Pharmacy Locator: Multi-page component,,,,,mooreem,,,,,,,,,
,,,,,,,,,,,,GBLDEV-176,,,,,,Story,Vertex,Vivid,,,,,,,,,,,,,,,Minor,GBLDEV,Global Development,software,cisses,High level tracking of Web development's 3rd party vendors' body of work ,,,mooreem,,,,,,,,,,,,,,Cards for HCC & HCP Sites,,,,,mooreem,,,,,,,,,
,,,,,,,,,,,,GBLDEV-176,,,,,,Story,Vertex,Vivid,,,,,,,,,,,,,,,Minor,GBLDEV,Global Development,software,cisses,High level tracking of Web development's 3rd party vendors' body of work ,,,mooreem,,,,,,,,,,,,,,Video Player Component ,,,,,mooreem,,,,,,,,,
,,,,,,,,,,,,GBLDEV-176,,,,,,Story,Vertex,Vivid,,,,,,,,,,,,,,,Minor,GBLDEV,Global Development,software,cisses,High level tracking of Web development's 3rd party vendors' body of work ,,,mooreem,,,,,,,,,,,,,,HCP Notifications,,,,,mooreem,,,,,,,,,
,,,,,,,,,,,,GBLDEV-176,,,,,,Story,Vertex,Vivid,,,,,,,,,,,,,,,Minor,GBLDEV,Global Development,software,cisses,High level tracking of Web development's 3rd party vendors' body of work ,,,mooreem,,,,,,,,,,,,,,HCP Slim Brand Navigation,,,,,mooreem,,,,,,,,,
,,,,,,,,,,,,GBLDEV-176,,,,,,Story,Vertex,Vivid,,,,,,,,,,,,,,,Minor,GBLDEV,Global Development,software,cisses,High level tracking of Web development's 3rd party vendors' body of work ,,,mooreem,,,,,,,,,,,,,,Progress Indicator (Payor style),,,,,mooreem,,,,,,,,,
,,,,,,,,,,,,GBLDEV-176,,,,,,Story,Vertex,Vivid,,,,,,,,,,,,,,,Minor,GBLDEV,Global Development,software,cisses,High level tracking of Web development's 3rd party vendors' body of work ,,,mooreem,,,,,,,,,,,,,,HCP Slim Brand Notifications,,,,,mooreem,,,,,,,,,
,,,,,,,,,,,,GBLDEV-176,,,,,,Story,Vertex,Vivid,,,,,,,,,,,,,,,Minor,GBLDEV,Global Development,software,cisses,High level tracking of Web development's 3rd party vendors' body of work ,,,mooreem,,,,,,,,,,,,,,Vivid360 Dashboard (Usage statistics),,,,,mooreem,,,,,,,,,
,,,,,,,,,,,,,,,,,,Story,Vertex,,,,,,,,,,,,,,,,Minor,GBLDEV,Global Development,software,cisses,High level tracking of Web development's 3rd party vendors' body of work ,,,mooreem,,,,,,,,,,,,,,Add Revision Workflow global plugin to Vaccines environment for testing,,,,,mooreem,,,,,,,,,
,,,,,,,,,,,,,,,,,,Story,Vertex,,,,,,,,,,,,,,,,Minor,GBLDEV,Global Development,software,cisses,High level tracking of Web development's 3rd party vendors' body of work ,,,mooreem,,,,,,,,,,,,,,Add Tealium tracking global plugin to Vaccines environment for testing,,,,,mooreem,,,,,,,,,
,,,,,,,,"|Select a variation to start with: 100, 50/50, 30/70, 70/30, 33/33/33, 25/50/25
 Color Settings: Text color, Background color
 Advanced: HTML anchor, Additional CSS class(es)|Image Border: Border radius, Weight, Color settings|",,,,GBLDEV-176,,,,,,Story,Vertex,Vivid,,,,,,,,,,,,,,,Minor,GBLDEV,Global Development,software,cisses,High level tracking of Web development's 3rd party vendors' body of work ,,,mooreem,, ,,,,,,,,,,,,Columns Module,,,,,mooreem,,,,,,,,,
,,,,,,,,"|Color Settings: Text color, Background color
 Advanced: HTML anchor, Additional CSS class(es)|Image Border: Border radius, Weight, Color settings|",,,,GBLDEV-176,,,,,,Story,Vertex,Vivid,,,,,,,,,,,,,,,Minor,GBLDEV,Global Development,software,cisses,High level tracking of Web development's 3rd party vendors' body of work ,,,mooreem,, ,,,,,,,,,,,,Group Module,,,,,mooreem,,,,,,,,,
,,,,,,,,"|Styles: Default, Wide Line, Dots
 Color Settings: Select from a range of colors
 Advanced: HTML anchor, Additional CSS class(es)|Line weight, Pattern Image Upload|",,,,GBLDEV-176,,,,,,Story,Vertex,Vivid,,,,,,,,,,,,,,,Minor,GBLDEV,Global Development,software,cisses,High level tracking of Web development's 3rd party vendors' body of work ,,,mooreem,, ,,,,,,,,,,,,Separator Module,,,,,mooreem,,,,,,,,,
,,,,,,,,"|Spacer Settings: Height in pixels
 Advanced: HTML anchor, Additional CSS class(es)|",,,,GBLDEV-176,,,,,,Story,Vertex,Vivid,,,,,,,,,,,,,,,Minor,GBLDEV,Global Development,software,cisses,High level tracking of Web development's 3rd party vendors' body of work ,,,mooreem,, ,,,,,,,,,,,,Spacer Module,,,,,mooreem,,,,,,,,,
,,,,,,,,"|Styles: Default, Rounded
 Basic editing toolbar: Alignment, Add Link, Crop, Add text over image
 Advanced Settings: HTML anchor, Additional CSS class(es)|Border: Border radius, Weight, Color settings|",,,,GBLDEV-176,,,,,,Story,Vertex,Vivid,,,,,,,,,,,,,,,Minor,GBLDEV,Global Development,software,cisses,High level tracking of Web development's 3rd party vendors' body of work ,,,mooreem,, ,,,,,,,,,,,,Image Module,,,,,mooreem,,,,,,,,,
,,,,,,,,"|Advanced Settings: HTML anchor, Additional CSS class(es)|",,,,GBLDEV-176,,,,,,Story,Vertex,Vivid,,,,,,,,,,,,,,,Minor,GBLDEV,Global Development,software,cisses,High level tracking of Web development's 3rd party vendors' body of work ,,,mooreem,, ,,,,,,,,,,,,Brightcove Module,,,,,mooreem,,,,,,,,,
,,,,,,,,"|Typography: Font size, Style, Alignment, Link
 Color settings
 Formatting: Superscript, Subscript, Underline
 Advanced Settings: HTML anchor, Additional CSS class(es)|Background options for headers with unique styling, for example, Delstrigo has a special background for certain headings: https://www.delstrigo.com/
 
 Not sure if including an option to upload a background image makes sense, or if we should build a header background specifically for this scenario.|",,,,GBLDEV-176,,,,,,Story,Vertex,Vivid,,,,,,,,,,,,,,,Minor,GBLDEV,Global Development,software,cisses,High level tracking of Web development's 3rd party vendors' body of work ,,,mooreem,, ,,,,,,,,,,,,Heading Module,,,,,mooreem,,,,,,,,,
,,,,,,,,"|List type: Bullets, Numbered
 Indentation setting
 Typography: Font size, Style, Alignment, Link
 Color settings
 Formatting: Superscript, Subscript, Underline
 Advanced Settings: HTML anchor, Additional CSS class(es)|Numbered list resets number if list item is indented, can we second level items alphabetical?|",,,,GBLDEV-176,,,,,,Story,Vertex,Vivid,,,,,,,,,,,,,,,Minor,GBLDEV,Global Development,software,cisses,High level tracking of Web development's 3rd party vendors' body of work ,,,mooreem,, ,,,,,,,,,,,,List Module,,,,,mooreem,,,,,,,,,
,,,,,,,,"Text Settings: Drop cap toggle, Formatting (Superscript, Subscript, Underline), Font Weight, Add Link, Font size
Advanced Settings: HTML anchor, Additional CSS class(es)",,,,GBLDEV-176,,,,,,Story,Vertex,Vivid,,,,,,,,,,,,,,,Minor,GBLDEV,Global Development,software,cisses,High level tracking of Web development's 3rd party vendors' body of work ,,,mooreem,, ,,,,,,,,,,,,Paragraph Module,,,,,mooreem,,,,,,,,,
,,,,,,,,"Text Settings: Formatting (Superscript, Subscript, Underline), Font Weight, Add Link, Font size
Advanced Settings: HTML anchor, Additional CSS class(es)",,,,GBLDEV-176,,,,,,Story,Vertex,Vivid,,,,,,,,,,,,,,,Minor,GBLDEV,Global Development,software,cisses,High level tracking of Web development's 3rd party vendors' body of work ,,,mooreem,, ,,,,,,,,,,,,Preformatted Module,,,,,mooreem,,,,,,,,,
,,,,,,,,Add iconography option,,,,GBLDEV-176,,,,,,Story,Vertex,Vivid,,,,,,,,,,,,,,,Minor,GBLDEV,Global Development,software,cisses,High level tracking of Web development's 3rd party vendors' body of work ,,,mooreem,, ,,,,,,,,,,,,Quote Module,,,,,mooreem,,,,,,,,,
,,,,,,,,"Border options: Border radius, Border weight
Color settings: Border, Header, Cell Backgrounds",,,,GBLDEV-176,,,,,,Story,Vertex,Vivid,,,,,,,,,,,,,,,Minor,GBLDEV,Global Development,software,cisses,High level tracking of Web development's 3rd party vendors' body of work ,,,mooreem,, ,,,,,,,,,,,,Table Module,,,,,mooreem,,,,,,,,,
,,,,,,,,"Button settings: Border options (weight, color), Background color, Add iconography option, Border radius
Content Background: Option to add background image for brands that use minor decorative accents or gradients in backgrounds",,,,GBLDEV-176,,,,,,Story,Vertex,Vivid,,,,,,,,,,,,,,,Minor,GBLDEV,Global Development,software,cisses,High level tracking of Web development's 3rd party vendors' body of work ,,,mooreem,,"|Styles: No Link, Text Link, Button, Legal, Column Offset
 Link Settings: URL, Open Link in New Tab, Link Rel
 Formatting: Superscript, Subscript, Underline
 Advanced: Additional CSS class(es)|Image Border: Border radius, Weight, Color settings|",,,,,,,,,,,,100vh Hero Module,,,,,mooreem,,,,,,,,,
,,,,,,,,Accordion style settings: Border weight and color settings,,,,GBLDEV-176,,,,,,Story,Vertex,Vivid,,,,,,,,,,,,,,,Minor,GBLDEV,Global Development,software,cisses,High level tracking of Web development's 3rd party vendors' body of work ,,,mooreem,,"|Styles: No Link, Text Link, Button, Legal, Column Offset
 Link Settings: URL, Open Link in New Tab, Link Rel
 Formatting: Superscript, Subscript, Underline
 Advanced: Additional CSS class(es)|Image Border: Border radius, Weight, Color settings|",,,,,,,,,,,,Accordion,,,,,mooreem,,,,,,,,,
,,,,,,,,https://merck.invisionapp.com/console/VIVID360-UI-Kit-Documentation-ckph2w4a502l4012597b9gj4a/ckql080955qbg018kdg451jwb/play,,,,GBLDEV-176,,,,,,Story,Vertex,Vivid,,,,,,,,,,,,,,,Minor,GBLDEV,Global Development,software,cisses,High level tracking of Web development's 3rd party vendors' body of work ,,,mooreem,,"|Styles: No Link, Text Link, Button, Legal, Column Offset
 Link Settings: URL, Open Link in New Tab, Link Rel
 Formatting: Superscript, Subscript, Underline
 Advanced: Additional CSS class(es)|Image Border: Border radius, Weight, Color settings|",,,,,,,,,,,,Buttons,,,,,mooreem,,,,,,,,,
,,,,,,,,"|Styles: Stacked Card w/ Icon, Left Card w/o Header Icon or Image, Left Card w/ Header & w/o Icon or Image, Left Card w/ Header & Image, Left Card w/ Icon, Simple Card w/ Icon, Simple Card w/ Image, Stacked card w/ Image, Simple Card w/ Video, Stacked Card w/ Video
 Make Entire Card Link Toggle
 Icon
 Image
 Video Settings: Video Hosting (Wordpress, Youtube, Brightcove)
 Link Settings: URL, Open Link in New Tab, Link Rel
 Formatting: Superscript, Subscript, Underlin
 Advanced: Additional CSS class(es)|Image Border: Border radius, Weight, Color settings
 Download attachment option|",,,,GBLDEV-176,,,,,,Story,Vertex,Vivid,,,,,,,,,,,,,,,Minor,GBLDEV,Global Development,software,cisses,High level tracking of Web development's 3rd party vendors' body of work ,,,mooreem,,"|Styles: No Link, Text Link, Button, Legal, Column Offset
 Link Settings: URL, Open Link in New Tab, Link Rel
 Formatting: Superscript, Subscript, Underline
 Advanced: Additional CSS class(es)|Image Border: Border radius, Weight, Color settings|",,,,,,,,,,,,Card Module,,,,,mooreem,,,,,,,,,
,,,,,,,,,,,,GBLDEV-176,,,,,,Story,Vertex,Vivid,,,,,,,,,,,,,,,Minor,GBLDEV,Global Development,software,cisses,High level tracking of Web development's 3rd party vendors' body of work ,,,mooreem,,"|Styles: No Link, Text Link, Button, Legal, Column Offset
 Link Settings: URL, Open Link in New Tab, Link Rel
 Formatting: Superscript, Subscript, Underline
 Advanced: Additional CSS class(es)|Image Border: Border radius, Weight, Color settings|",,,,,,,,,,,,Content Module,,,,,mooreem,,,,,,,,,
,,,,,,,,https://merck.invisionapp.com/console/VIVID360-UI-Kit-Documentation-ckph2w4a502l4012597b9gj4a/ckql080955qbg018kdg451jwb/play,,,,GBLDEV-176,,,,,,Story,Vertex,Vivid,,,,,,,,,,,,,,,Minor,GBLDEV,Global Development,software,cisses,High level tracking of Web development's 3rd party vendors' body of work ,,,mooreem,,,,,,,,,,,,,,Content Switcher,,,,,mooreem,,,,,,,,,
,,,,,,,,"Fixed height: UI Kit has a fixed height of 450px
Button settings: Border options (weight, color), Background color, Add iconography option, Border radius
Content Background: Option to add background image for brands that use minor decorative accents or gradients in backgrounds",,,,GBLDEV-176,,,,,,Story,Vertex,Vivid,,,,,,,,,,,,,,,Minor,GBLDEV,Global Development,software,cisses,High level tracking of Web development's 3rd party vendors' body of work ,,,mooreem,,,,,,,,,,,,,,Hero Banner,,,,,mooreem,,,,,,,,,
,,,,,,,,"Button settings: Border options (weight, color), Background color, Add iconography option, Border radius
Content Background: Option to add background image for brands that use minor decorative accents or gradients in backgrounds",,,,GBLDEV-176,,,,,,Story,Vertex,Vivid,,,,,,,,,,,,,,,Minor,GBLDEV,Global Development,software,cisses,High level tracking of Web development's 3rd party vendors' body of work ,,,mooreem,,,,,,,,,,,,,,Image Module,,,,,mooreem,,,,,,,,,
,,,,,,,,"Button settings: Border options (weight, color), Background color, Add iconography option, Border radius
Content Background: Option to add background image for brands that use minor decorative accents or gradients in backgrounds",,,,GBLDEV-176,,,,,,Story,Vertex,Vivid,,,,,,,,,,,,,,,Minor,GBLDEV,Global Development,software,cisses,High level tracking of Web development's 3rd party vendors' body of work ,,,mooreem,,,,,,,,,,,,,,Modal Block,,,,,mooreem,,,,,,,,,
,,,,,,,,"Width settings, Options to add a button",,,,GBLDEV-176,,,,,,Story,Vertex,Vivid,,,,,,,,,,,,,,,Minor,GBLDEV,Global Development,software,cisses,High level tracking of Web development's 3rd party vendors' body of work ,,,mooreem,,,,,,,,,,,,,,Row Block,,,,,mooreem,,,,,,,,,
,,,,,,,,https://merck.invisionapp.com/console/VIVID360-UI-Kit-Documentation-ckph2w4a502l4012597b9gj4a/ckql080955qbg018kdg451jwb/play,,,,GBLDEV-176,,,,,,Story,Vertex,Vivid,,,,,,,,,,,,,,,Minor,GBLDEV,Global Development,software,cisses,High level tracking of Web development's 3rd party vendors' body of work ,,,mooreem,,,,,,,,,,,,,,Tabs Module,,,,,mooreem,,,,,,,,,
,,,,,,,,"Due to accessibility concerns, remove ability to add copy on top of video.

Remove option to use Youtube and WordPress under Video Host settings.

 ",,,,GBLDEV-176,,,,,,Story,Vertex,Vivid,,,,,,,,,,,,,,,Minor,GBLDEV,Global Development,software,cisses,High level tracking of Web development's 3rd party vendors' body of work ,,,mooreem,,,,,,,,,,,,,,Video Module,,,,,mooreem,,,,,,,,,
,,,,,,,,Add custom HTML code and preview it as you edit,,,,GBLDEV-176,,,,,,Story,Vertex,Vivid,,,,,,,,,,,,,,,Minor,GBLDEV,Global Development,software,cisses,High level tracking of Web development's 3rd party vendors' body of work ,,,mooreem,,,,,,,,,,,,,,Custom HTML,,,,,mooreem,,,,,,,,,
,,,,,,,," Remove the following blocks from VIVID360
|More DISABLE|
|Page Break DISABLE|
|Audio DISABLED|
|Cover DISABLED|
|File DISABLE|
|Gallery DISABLE|
|Image Compare DISABLE|
|Media & Text DISABLE|
|Tiled Gallery DISABLE|
|Video DISABLE|
|Classic DISABLE|
|Classic Paragraph DISABLE|
|Code DISABLE|
|Markdown DISABLE|
|Pullquote DISABLE|
|Verse DISABLE|
|50vh Hero Module DISABLE|
|Archives DISABLE|
|Calendar DISABLE|
|Categories DISABLE|
|Latest Comments DISABLE|
|Latest Posts DISABLE|
|Related Posts (ElasticPress) DISABLE|
|RSS DISABLE|
|Search DISABLE|
|Shortcode DISABLE|
|Social Icons DISABLE|
|Star Rating DISABLED|
|Tag Cloud DISABLED|",,,,GBLDEV-176,,,,,,Story,Vertex,Vivid,,,,,,,,,,,,,,,Minor,GBLDEV,Global Development,software,cisses,High level tracking of Web development's 3rd party vendors' body of work ,,,mooreem,,,,,,,,,,,,,,Disable deprecated VIVID Components,,,,,mooreem,,,,,,,,,
,vulina,,,,,,,"Due to the drastic changes we will be undergoing for the Vivid codebase, we have decided to create a new repo for the Vivid360 design system in order to mitigate issues of backwards compatibility and reduce QA / Testing required.

Could we get a new repo created (mhh-vivid360) and add it to the pipeline for [https://github.com/wpcomvip/merck?] Can the Vertex also get write access to the repo? We can then fork the existing codebases for Vivid theme and Vividberg and combine those in a single theme codebase.

If Antonio or Giuseppe have any technical/implementation questions, it's best to have them reach out on our shared Slack channel.",24/Jun/21 12:00 AM,,,GBLDEV-176,,,,,,General Request,Inpsyde,Vertex,,,,,,,,,,,,,,,Major,GBLDEV,Global Development,software,cisses,High level tracking of Web development's 3rd party vendors' body of work ,,,jackje,,,,,,,,,,,,,,New Repo for Vivid360,,,,,jackje,mangiaca,vulina,,,,,Done,,
,jackje,,,,,,,"Hey Vertex,

I'm sure this is on your radar but dropping in tasks to ensure we plan for the 5.8 release to production on July 20.

https://lobby.vip.wordpress.com/2021/06/15/wordpress-5-8-beta-available-for-testing/

As you know, here's what we've done for major releases in the past. 
 * Request 5.8 update to lower, non-production environment(s) prior to release. (Maybe aim for the end of June?) 
 * After a data sync, compare visual appearance of updated environment against production. 
 * Notify market/site stakeholders of update and give them a deadline to report any issues. Thinking Merckvaccines & corporate communications will definitely want to review. 
 * Confirm that routine tasks can be completed in dashboard (create page, publish, test all blocks, menus, etc.) 
 * Cross browser testing. Per the release notes, visual changes shouldn't happen on IE 11, but we should check for the sites that support that browser. 
 * Post update to production - QA sites to ensure there are no issues. 

Of course, if we encounter any issues on lower environments, we can ask VIP told off on the release for some sites while we bug fix. Hopefully we don't need to hold up that process. 

Thanks!

CC [~mooreem]",,,,FCD-3842,,,,,,Story,Vertex,,,,,,,,,,,,,,,,Minor,GBLDEV,Global Development,software,cisses,High level tracking of Web development's 3rd party vendors' body of work ,,,spekathe,,,,,,,,,,,,,,Vertex - 5.8 release plan for vivid & corporate sites,,,,,jackje,spekathe,yoch,,,,,,,
